Asset,FirstObserved,LastObserved,TotalObservedWeeks,LegacyFullSampleKeep,EverPITEligible,FirstPITEligible,LastPITEligible
ADBE,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
AMZN,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
ATI,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2015-06-26
BSX,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
CAG,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-06-26
CSCO,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
GLD,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
INTC,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
JNJ,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
JPM,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
MSFT,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
MU,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
NVDA,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
PEP,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
PG,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
SO,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
TIP,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
TLT,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
VRSN,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
VZ,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
XOM,2006-09-01,2026-08-28,1044,True,True,2007-08-24,2026-08-28
FTI,2006-09-01,2026-08-28,1044,True,True,2009-06-05,2021-02-05
BRK-B,2006-09-01,2026-08-28,1044,True,True,2010-02-19,2026-08-28
STX,2006-09-01,2026-08-28,1044,True,True,2012-07-06,2026-08-28
IEMG,2012-11-02,2026-08-28,722,True,True,2013-10-25,2026-08-28
GOOG,2006-09-01,2026-08-28,1044,True,True,2014-04-04,2026-08-28
AVGO,2009-08-14,2026-08-28,890,True,True,2014-05-09,2026-08-28
PYPL,2015-07-17,2026-08-28,581,True,True,2016-07-08,2026-08-28
LIN,2006-09-01,2026-08-28,1044,True,True,2018-11-02,2026-08-28
DBMF,2019-05-17,2026-08-28,381,True,True,2020-05-08,2026-08-28
PANW,2012-07-27,2026-08-28,736,True,True,2023-06-23,2026-08-28
SMCI,2007-04-06,2026-08-28,1013,True,True,2024-03-22,2026-08-28
CRWD,2019-06-21,2026-08-28,376,True,True,2024-06-28,2026-08-28
SNDK,2025-02-21,2026-08-28,80,False,True,2026-02-13,2026-08-28
LITE,2015-07-31,2026-08-28,579,True,True,2026-03-27,2026-08-28
1138.HK,2006-09-01,2026-08-28,1044,True,False,,
1288.HK,2010-07-23,2026-08-28,841,True,False,,
1810.HK,2018-07-20,2026-08-28,424,True,False,,
AGX,2006-09-01,2026-08-28,1044,True,False,,
AI.PA,2006-09-01,2026-08-28,1044,True,False,,
ARM,2023-09-22,2026-08-28,154,True,False,,
AZM.MI,2006-09-01,2026-08-28,1044,True,False,,
BE,2018-08-03,2026-08-28,422,True,False,,
BHP.AX,2006-09-01,2026-08-28,1044,True,False,,
BRE.MI,2006-09-01,2026-08-28,1044,True,False,,
BTC-USD,2014-09-26,2026-08-28,623,True,False,,
BTRW.L,2006-09-01,2026-08-28,1044,True,False,,
CALM,2006-09-01,2026-08-28,1044,True,False,,
CPNG,2021-03-19,2026-08-28,285,True,False,,
CTO,2006-09-01,2026-08-28,1044,True,False,,
EAT,2006-09-01,2026-08-28,1044,True,False,,
ENEL.MI,2006-09-01,2026-08-28,1044,True,False,,
EXEL,2006-09-01,2026-08-28,1044,True,False,,
FRO,2006-09-01,2026-08-28,1044,True,False,,
IBE.MC,2006-09-01,2026-08-28,1044,True,False,,
INDA,2012-02-10,2026-08-28,760,True,False,,
INSM,2006-09-01,2026-08-28,1044,True,False,,
ITUB,2006-09-01,2026-08-28,1044,True,False,,
KPN.DE,2006-10-13,2026-08-28,1038,True,False,,
LDO.MI,2006-09-01,2026-08-28,1044,True,False,,
MUFG,2006-09-01,2026-08-28,1044,True,False,,
NESN.SW,2006-09-01,2026-08-28,1044,True,False,,
NOVO-B.CO,2006-09-01,2026-08-28,1044,True,False,,
PAH3.DE,2009-02-06,2026-08-28,917,True,False,,
PFD.L,2006-09-01,2026-08-28,1044,True,False,,
PROX.BR,2006-09-01,2026-08-28,1044,True,False,,
RF.PA,2006-09-01,2026-08-28,1044,True,False,,
RKT.L,2006-09-01,2026-08-28,1044,True,False,,
RVMD,2020-02-21,2026-08-28,341,True,False,,
RWE.DE,2006-09-01,2026-08-28,1044,True,False,,
SCHD,2011-10-28,2026-08-28,775,True,False,,
SEB-A.ST,2006-09-01,2026-08-28,1044,True,False,,
TD.TO,2006-09-08,2026-08-28,1043,True,False,,
TRI,2006-09-01,2026-08-28,1044,True,False,,
TWLO,2016-07-01,2026-08-28,531,True,False,,
TWST,2018-11-09,2026-08-28,408,True,False,,
TXG,2019-09-20,2026-08-28,363,True,False,,
ULVR.L,2006-09-01,2026-08-28,1044,True,False,,
VNA.DE,2013-07-19,2026-08-28,685,True,False,,
WOW.AX,2006-09-01,2026-08-28,1044,True,False,,
ZURN.SW,2006-09-01,2026-08-28,1044,True,False,,
